-----------------------------------------------
Studente: Nicolo' Maffi       
-----------------------------------------------
LT in Fisica, A.A. 2023/2024 - Esperimentazioni 1 (corso B)
Esperimento n.1: Misure ripetute del periodo di un pendolo        
Data: 18 novembre 2023

-----------------------------------------------
Punto		Tempo
-----------------------------------------------
  1		4.48
  2		4.33
  3		4.34
  4		4.28
  5		4.33
  6		4.39
  7		4.36
  8		4.40
  9		4.30
 10		4.22
 11		4.33
 12		4.50
 13		4.40
 14		4.21
 15		4.30
 16		4.36
 17		4.31
 18		4.20
 19		4.51
 20		4.28
 21		4.29
 22		4.39
 23		4.29
 24		4.34
 25		4.21
 26		4.51
 27		4.18
 28		4.28
 29		4.39
 30		4.38
 31		4.29
 32		4.24
 33		4.36
 34		4.31
 35		4.26
 36		4.43
 37		4.26
 38		4.64
 39		4.11
 40		4.31
 41		4.33
 42		4.30
 43		4.33
 44		4.39
 45		4.30
 46		4.36
 47		4.23
 48		4.49
 49		4.21
 50		4.10
