-----------------------------------------------
Studente: Nicolo' Maffi       
-----------------------------------------------
LT in Fisica, A.A. 2023/2024 - Esperimentazioni 1 (corso B)
Esperimento n.1a: 100 misure ripetute del periodo 1 di un pendolo        
Data: 18 novembre 2023

-----------------------------------------------
Punto		Tempo
-----------------------------------------------
  1		2.16
  2		2.13
  3		2.11
  4		2.18
  5		2.24
  6		2.18
  7		2.11
  8		2.23
  9		2.19
 10		2.16
 11		2.11
 12		2.11
 13		2.21
 14		2.24
 15		2.04
 16		2.26
 17		2.21
 18		2.09
 19		2.16
 20		2.28
 21		2.11
 22		2.19
 23		2.09
 24		2.28
 25		2.18
 26		2.16
 27		2.23
 28		2.14
 29		2.08
 30		2.21
 31		2.06
 32		2.14
 33		2.28
 34		2.17
 35		2.13
 36		2.23
 37		2.16
 38		2.19
 39		2.13
 40		2.23
 41		2.09
 42		2.13
 43		2.18
 44		2.09
 45		2.04
 46		2.12
 47		2.23
 48		2.21
 49		2.08
 50		2.23
 51		2.26
 52		2.14
 53		2.17
 54		2.11
 55		2.27
 56		2.19
 57		2.17
 58		2.16
 59		2.16
 60		2.09
 61		2.22
 62		2.17
 63		2.14
 64		2.14
 65		2.14
 66		2.11
 67		2.22
 68		2.09
 69		2.03
 70		2.33
 71		2.14
 72		2.23
 73		2.13
 74		2.24
 75		2.19
 76		2.08
 77		2.13
 78		2.11
 79		2.18
 80		2.16
 81		2.18
 82		2.26
 83		2.08
 84		2.13
 85		2.13
 86		2.26
 87		2.21
 88		2.11
 89		2.21
 90		2.14
 91		2.16
 92		2.19
 93		2.16
 94		2.08
 95		2.09
 96		2.19
 97		2.20
 98		2.15
 99		2.14
100		2.28
