-----------------------------------------------
Studente: Nicolo' Maffi       
-----------------------------------------------
LT in Fisica, A.A. 2023/2024 - Esperimentazioni 1 (corso B)
Esperimento extra: 50 misure ripetute del tempo di reazione        
Data: 29 novembre 2023

-----------------------------------------------
Punto    Tempo
-----------------------------------------------
   1      204
   2      193
   3      206
   4      209
   5      182
   6      208
   7      208
   8      202
   9      206
  10      201
  11      195
  12      203
  13      200
  14      193
  15      210
  16      197
  17      195
  18      201
  19      197
  20      200
  21      205
  22      192
  23      215
  24      207
  25      186
  26      187
  27      191
  28      207
  29      193
  30      205
  31      201
  32      208
  33      203
  34      201
  35      196
  36      200
  37      196
  38      212
  39      211
  40      204
  41      180
  42      206
  43      200
  44      194
  45      199
  46      197
  47      217
  48      204
  49      202
  50      190
